Stock ,Day,Month,Year,Open,High,Low,Close
AMZN,2,March,2012,179.479996,181.839996,178.919998,179.300003
AMZN,5,March,2012,179,181.820007,178.179993,180.259995
AMZN,6,March,2012,178.679993,183.5,178.039993,181.089996
AMZN,7,March,2012,182.649994,185.5,182.399994,183.770004
AMZN,8,March,2012,184.169998,188.380005,183.800003,187.639999
AMZN,9,March,2012,186.789993,187.199997,183.440002,184.320007
AMZN,12,March,2012,184.130005,185.399994,182.199997,183.389999
AMZN,13,March,2012,NaN,NaN,NaN,NaN
AMZN,14,March,2012,183.649994,184.320007,181.139999,182.259995
AMZN,15,March,2012,182.020004,184.429993,180.300003,184.429993
AMZN,16,March,2012,183.279999,185.679993,182.350006,185.050003
AMZN,19,March,2012,183.449997,186.679993,183,185.520004
AMZN,20,March,2012,NaN,NaN,NaN,NaN
AMZN,21,March,2012,192.5,194.279999,191.259995,191.729996
AMZN,22,March,2012,190.539993,194.059998,190.259995,192.399994
AMZN,23,March,2012,192.009995,196.199997,191.800003,195.039993
AMZN,26,March,2012,196.479996,202.970001,195.5,202.869995
AMZN,27,March,2012,203.589996,209.850006,202.880005,205.440002
AMZN,28,March,2012,206.139999,207,200.309998,201.160004
AMZN,29,March,2012,201.279999,205.309998,200.630005,204.610001
AMZN,30,March,2012,205.020004,206.850006,201.869995,202.509995
AMZN,2,April,2012,198.020004,199.899994,197,198.050003
AMZN,3,April,2012,198.240005,202.389999,197.5,199.660004
AMZN,4,April,2012,196.949997,197.679993,192.360001,193.990005
AMZN,5,April,2012,193.550003,196.029999,193.550003,194.389999
AMZN,9,April,2012,192.020004,194.199997,190.5,191.869995
AMZN,10,April,2012,192.75,193.520004,186.570007,186.979996
AMZN,11,April,2012,189.630005,191.970001,186.789993,187.970001
AMZN,12,April,2012,NaN,NaN,NaN,NaN
AMZN,13,April,2012,189.899994,189.940002,186.259995,188.460007
AMZN,16,April,2012,189.009995,189.470001,183.649994,185.5
AMZN,17,April,2012,187.210007,190.039993,186.869995,188.389999
AMZN,18,April,2012,188.820007,193.449997,188.740005,191.070007
AMZN,19,April,2012,192.929993,194.550003,189.75,191.100006
AMZN,20,April,2012,192.339996,193.479996,189.800003,189.979996
AMZN,23,April,2012,188.990005,188.990005,185.509995,188.240005
AMZN,24,April,2012,188.679993,190.699997,186.509995,190.330002
AMZN,25,April,2012,191.669998,194.800003,191.600006,194.419998
AMZN,26,April,2012,NaN,NaN,NaN,NaN
AMZN,27,April,2012,224.830002,228.690002,220.220001,226.850006
AMZN,30,April,2012,223.949997,233.839996,223.050003,231.899994
AMZN,1,May,2012,229.399994,232.970001,228.399994,230.039993
AMZN,2,May,2012,227.820007,231.440002,227.399994,230.25
AMZN,3,May,2012,229.740005,232.529999,228.029999,229.449997
AMZN,4,May,2012,227.800003,229.720001,223.740005,223.990005
AMZN,7,May,2012,222.360001,226.869995,222.289993,225.160004
AMZN,8,May,2012,223.149994,225.389999,218.199997,223.899994
AMZN,9,May,2012,220.589996,225.779999,220.160004,222.979996
AMZN,10,May,2012,223.910004,229.080002,221.949997,226.690002
AMZN,11,May,2012,225.949997,230.679993,225.729996,227.679993
AMZN,14,May,2012,225.600006,227.289993,222.509995,222.929993
AMZN,15,May,2012,226.5,230.610001,223,224.389999
AMZN,16,May,2012,225,228,222.5,224.059998
